Date and Time,Underdrain Outflow (cfs),Underdrain Outflow (in/hr),,,
4/28/11 10:18,6.76E-06,0.000425083,,,
4/28/11 10:20,2.77135E-06,0.000174268,,,
4/28/11 10:22,6.76E-06,0.000425083,,,
4/28/11 10:24,2.77135E-06,0.000174268,,,
4/28/11 10:26,6.76E-06,0.000425083,,,
4/28/11 10:28,6.76E-06,0.000425083,,,
4/28/11 10:30,2.77135E-06,0.000174268,,,
4/28/11 10:32,2.77135E-06,0.000174268,,,
4/28/11 10:34,6.76E-06,0.000425083,,,
4/28/11 10:36,2.77135E-06,0.000174268,,,
4/28/11 10:38,2.77135E-06,0.000174268,,,
4/28/11 10:40,6.76E-06,0.000425083,,,
4/28/11 10:42,2.77135E-06,0.000174268,,,
4/28/11 10:44,2.77135E-06,0.000174268,,,
4/28/11 10:46,2.77135E-06,0.000174268,,,
4/28/11 10:48,2.77135E-06,0.000174268,,,
4/28/11 10:50,6.76E-06,0.000425083,,,
4/28/11 10:52,6.76E-06,0.000425083,,,
4/28/11 10:54,2.77135E-06,0.000174268,,,
4/28/11 10:56,2.77135E-06,0.000174268,,,
4/28/11 10:58,2.77135E-06,0.000174268,,,
